system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,date_year,.geo
0,-0.9910395380141813,-1.0,-1.0,-0.8327987446308265,-0.8243889885707223,-0.7333738844220499,-0.276733737569043,0.20481356148018648,-0.38050021595706357,-0.16405259071501507,-0.7777784969897816,0.10517472779094135,01,01,Aguascalientes,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.6869537799393839,-0.5913374433147669,-0.7627489456911736,-0.8343870935705376,0.19773064919907116,0.4991850543004015,-0.029207938647231372,-0.9098608421164971,0.1884653736765072,-0.7351255258886746,-0.47627902289228236,-0.4933420194463226,02,02,Baja California,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.72785994382909,-0.7761552341080985,-0.5507409387699356,-0.5157832470116618,-0.24110464016234434,-0.4536847409810833,-0.031355479680127724,-0.03751745174176302,-0.33540462878808286,-0.6702083908653769,-0.8814497605150254,-0.20856209649715707,03,03,Baja California Sur,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.7259931202478223,-0.8257339252495939,-0.8934084762392431,0.9350543224684913,0.4299397616770596,-0.21633389275390383,0.00963748847739879,-0.2129013526454811,0.019749853965452372,0.15266030961227786,0.10508682144141734,-0.5465877873726845,04,04,Campeche,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.010909790149117275,0.9107571450439944,-0.8099734149187944,-0.5265887882913065,-0.8525675642229239,-0.5513782167856349,0.45264718439334056,0.5966047871137848,-0.5998262859951642,0.5197255206346342,0.5303942281008458,0.9826857856556714,05,05,Coahuila de Zaragoza,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.9420502012051103,-0.9996054465092228,-0.8554657093524319,-0.4754224472739214,-0.9730749305930392,-0.4102420073474617,0.2840234339031824,-0.28950415747412045,-0.018622754235168952,0.35344176779963243,-0.824330779502829,-0.4130082758119985,06,06,Colima,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.2765524614591515,-0.9036430838470828,-0.44367396695325506,-0.2933660296400539,-0.05420948551156668,0.42973718080647,0.17038301032435282,0.6381281731702433,-0.026940818360961925,0.6782389871330446,-0.33252562650377104,-0.652459303869043,07,07,Chiapas,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.6695654065329617,-0.4463839315113115,-0.7645990292283704,-0.9611973492834595,-0.8832477164171129,-0.6058776183067717,0.3800534900955115,-0.03191294963722998,-0.7490552313901323,-0.37920384535283225,0.2533999733456437,0.6473738804403067,08,08,Chihuahua,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.2567226766859633,-1.0,-0.9125967201829823,-0.8554302298689381,-0.15781167181629724,-0.4705497877825322,0.13591030040733032,-0.20946607858589028,-0.05426303769932766,0.15473850243543413,-0.8425704961541272,-0.034065980629493335,09,09,Ciudad de M�xico,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.16450679116249384,-0.6900363512414783,-1.0,-0.8471103846238569,-0.845291364463652,-0.6689467168424611,0.03905354252660559,0.3513464762893268,-0.5068627743294408,0.5543413163245318,-0.807061231584312,0.1844291415765533,10,10,Durango,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.6389618381238267,-0.9869621883794487,-0.9918062967161341,-0.3010784517348598,-0.37516964679423814,-0.722915814076926,-0.26719868248492845,0.46707854332912685,-0.5121654252680997,0.05260999136462987,-0.2502338261302226,-0.33788923471431814,11,11,Guanajuato,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.3730900617553747,-0.9864607460529463,-0.9797252364684469,-0.9021775384535381,-0.5366274142679562,-0.41271906697944705,0.2695409503641998,0.030898093616354188,-0.30939979543462715,0.742612563378381,-0.9804291441452028,-0.922811332248281,12,12,Guerrero,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-0.3288873645242528,-0.7479077596146912,-0.6070847536034488,-0.4014287403376479,-0.11185363071019655,-0.5807131288098976,0.06426157463867581,-0.1592259774344555,-0.25546516585223933,0.329684115245521,-0.002076034063288139,-0.25166741963417316,13,13,Hidalgo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.859572427397653,-0.977589071481289,-1.0,-0.9079696518481347,-0.9371619718465538,-0.5590537931029445,0.10947465099165406,0.01909316139334991,-0.25531352652777745,0.007544219950944378,-0.5604000962527981,0.7841382343896147,14,14,Jalisco,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.18951100855823488,-0.9976225289376396,-0.942979262040061,-0.8641910224834358,-0.28548144797812824,-0.42101310872909864,0.07772249749837191,-0.18933617037418674,-0.1315629972900374,0.13817652861621085,-0.8488011210703866,-0.16654263759828136,15,15,M�xico,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.6400098067398041,-0.818819508401578,-0.9968012018750271,-0.7883965374237343,-0.6850480198442298,-0.5050816841286148,0.02917426403253483,-0.04129883067438723,-0.2983601477910565,0.2425468666164705,-0.48368775685616483,-0.15805771979520541,16,16,Michoac�n de Ocampo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.06792684814141821,-1.0,-0.9932973789666143,-0.9126392010655807,-0.2522249777893758,-0.44457134507941454,0.2951679792081051,-0.2937956338455839,-0.20947500572625957,0.4690363773428738,-0.9743993449050414,-0.835703453180268,17,17,Morelos,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-0.6157537447216972,-0.9659103076486163,-0.8724548653288238,-1.0,-0.9875460537997158,-0.6658643514878105,-0.03914520601523377,-0.27782197572806594,-0.19146727194506408,0.38779289549960094,-0.7725701516521616,1.8371172267415674,18,18,Nayarit,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-0.5888304522772908,0.33692184818164095,-0.4329873995539467,-0.24774019657251176,-0.5844672314477415,-0.579870466089705,-0.20301493978291862,0.290014570201447,-0.22326244439485826,0.44021343621395875,0.7020435772332679,0.20944237833336046,19,19,Nuevo Le�n,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-0.41575485279828206,-0.1919263824732631,-0.6491608480151555,0.041284641284785525,-0.6307476924537792,-0.034452392544341084,0.49542024392802597,0.3709924080114804,-0.24424533343249621,0.702586866358581,0.011553777791470817,-0.5727811068416593,20,20,Oaxaca,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-0.24949632285025145,-0.6932812630430837,-0.5755780728216776,-0.5308655576529289,-0.29021741849709054,-0.39419894846074105,0.3735404383480547,-0.05276676425816844,-0.06098449774439531,0.4370231343437532,-0.34516625489128033,-0.5063467750982386,21,21,Puebla,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.5127274279662045,-0.8954231326832748,-0.8167255013081876,-0.5189365406572904,-0.4745865627532207,-0.6959780404594557,-0.06554993103407879,0.23391020428980933,-0.5945211253459523,0.22562454437038598,-0.2990669337112431,-0.5222388584983818,22,22,Quer�taro,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.6484441616946031,-0.7089968355096606,-0.7298123537926059,1.7090740504434454,0.06454656178625422,-0.11400412983581619,0.08925198445350711,0.08586921388563593,-0.01395313972432496,-0.2039085615757974,-0.031917342981453475,-0.37265891651782757,23,23,Quintana Roo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.7917293809050725,-0.8344223497596902,-0.7649714588514717,-0.28762129414267984,-0.5024702405613887,-0.7916474716301668,-0.22248268469295002,0.2972530891130173,-0.5254311349097615,0.3829686939121106,-0.08968721126512025,-0.37135964678129524,24,24,San Luis Potos�,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2.4653178106187816,-0.8919559508960022,-1.0,-0.9883569018351639,-0.9906378384224475,-0.7649267361394614,-0.04051617063346135,-0.22335903727389797,-0.2908885757954329,0.13325477120844859,-0.7467943088040583,0.41908123208200687,25,25,Sinaloa,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2.090176743248958,-0.7393182188060433,-0.6491493384982656,-0.9959028222798056,-0.9516989781474063,-0.42341913554834465,-0.23192885741154712,0.0066703137440925426,-0.06257629339082624,-0.3004630387533243,-0.8382252319824496,-0.2597521226087334,26,26,Sonora,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.08805404889573047,-0.8924632605565613,-0.8119671112445789,-0.23195048677485577,-0.26761051404529124,0.3030158622219742,0.1643438277317957,0.23184706597479474,-0.20470663479580611,0.6707632107276962,-0.33899234297264613,-0.7393529600448311,27,27,Tabasco,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-0.7982944155040486,-0.38397755527661503,-0.3357712556697243,0.08813663864262325,-0.40661110159070146,-0.5593068693946668,-0.40809748548893493,0.19098534209867501,-0.07596173236403905,0.16016660793683016,0.2702371779799828,-0.23075350172063008,28,28,Tamaulipas,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-0.3037776936144587,-0.7625658671780677,-0.6953956542451437,-0.6293623181191372,-0.1440658598637422,-0.4327480727613908,0.29448694086277294,0.03338130250182005,0.08973807843312702,0.3523161382439388,-0.4079351677905773,-0.1977103802777039,29,29,Tlaxcala,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-0.12168365765955799,-0.43953955570164976,-0.29816209969349805,-0.12247124027332805,-0.2986836205728699,-0.2350517128645728,0.21628009338546966,0.15042126825882288,-0.14895771332710542,0.36176541506533844,0.32907256462049905,-0.3362985437984731,30,30,Veracruz de Ignacio de la Llave,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-0.6218204845287968,-0.7875614148428827,-0.8079393198165938,1.5164825938253546,0.06699000471074075,-0.15997847586836514,0.10069898506208652,0.22071600782638973,-0.04781870709945819,-0.12157480005853868,-0.31448066572658523,-0.41296580814018785,31,31,Yucat�n,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
