system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,date_year,.geo
0,0.6242765979076561,-2.7595691471664616,-0.5468471128608917,-0.8215164873756978,-0.19909065284092972,0.3016492920779274,0.11676084063435778,0.540272956637463,-1.077368812613212,0.961775304055304,1.0654149569332005,-0.608205334368415,01,01,Aguascalientes,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-1.5811892544411803,-1.3844622561139566,0.9394113325838543,0.2456127478680531,-0.29140470624624526,1.1265408878605108,0.1374073181838314,0.852861112598171,1.0049769538806694,-0.26017838767049173,-0.30431736033040624,-1.2060327463743805,02,02,Baja California,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5932215448633587,-1.192675774278712,0.5514060902693891,0.06490329616407452,-0.4444164571867328,0.7334555490176098,0.4282439656265815,0.5693776453555123,1.1058988334965554,1.1097725106888503,1.8259378220602343,-0.33680873876102757,03,03,Baja California Sur,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.6684837040579561,-1.146631670374619,-1.1156221905271033,-0.19731843851266148,0.19413616012331977,-0.09717490292784657,-0.15509192757526144,0.08141379941133663,0.43609294285333905,0.9823927362708251,0.5778322943074313,-0.36314677422312713,04,04,Campeche,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.3365699606759898,-2.3335423783799403,-1.8426683205996601,-0.2560009890105553,-0.6852428969866036,0.9030901506763503,0.30736147613437437,0.6168095067818818,-1.0983916133743639,2.2100403977319756,1.6234577345747923,-1.1785982138049118,05,05,Coahuila de Zaragoza,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5867465576454343,-1.4788280674797514,-0.4713721401361839,-0.7189842367370443,-0.5836705034457842,-0.2592868804104748,0.4655650674751808,0.645503331458388,0.20580656962679497,1.0150977944236368,0.9957601532882434,0.5814212545673221,06,06,Colima,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5760630818375203,-0.5960478345652592,-0.3658645122849278,-0.432140843657997,-0.08804053885894988,0.08514681812924844,0.1838242069295662,0.252443508966099,0.23780908482695268,0.6713726241558305,0.584061202096995,-0.1443381710300354,07,07,Chiapas,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.41420883939164516,-1.7621254493761969,0.11031009798735883,0.21866285604174643,-0.4241835341194505,1.34685195785689,0.3305642570645731,0.721446748540924,-0.07017337827417877,0.8333986033331449,1.4206686235759625,-1.083300704286902,08,08,Chihuahua,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.42919526815553555,-1.1893197531519102,-1.0722736194366345,-1.198493802273973,0.07794758898732188,-0.2376556504517882,0.31043127685533944,0.28662281399748935,-0.49014747228263716,1.0289539016497802,1.1296300815164535,-0.7181958516789562,09,09,Ciudad de M�xico,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.983118899366723,-2.3197381214659925,-0.8900158196583651,-0.5241796233085341,-0.39594123674079545,0.26093995857167906,0.12325692722380628,0.18175235957017136,-0.8237426747119261,1.0616622723171227,1.3687868116822617,-0.48016083730986175,10,10,Durango,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.702607494371618,-2.1193802632612844,-0.5295112875068754,-0.9884751104323979,-0.35203695257812095,0.021211502393129484,0.20719576855144814,0.4813524595764465,-0.7180056659594892,0.9724866592874286,1.3047547768633458,-0.3978479859111125,11,11,Guanajuato,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.36650751004839077,-1.2244002207691285,-0.9344085771411774,-1.1232489440336744,-0.008737211377237656,-0.18456201337438588,0.4308902427832038,0.43697299433451997,-0.3786143760610478,1.3451434978499393,0.905639096925114,-0.36803708653454825,12,12,Guerrero,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.8348393867850288,-1.74402403752322,-0.9978605219252709,-1.186054119054369,-0.13166868763181852,-0.2838240186356912,-0.0720376617244308,0.1671835174867006,-0.5938223439418262,0.7014433342777106,1.477927119337679,-0.4986554978436739,13,13,Hidalgo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.511591571380856,-2.1116022049906613,-0.450763246511081,-0.6118212173516494,-0.4925307024649307,-0.20568686452514406,0.22952651435604066,0.5264516410760013,-0.2198016548430251,1.041857378291845,1.228903438156058,0.2967001408703306,14,14,Jalisco,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.48563614070152306,-1.304344439483183,-1.0944266901972428,-1.1832252013447462,0.05805223032562473,-0.3187508475497244,0.3417414400430925,0.3309089513063488,-0.5513151136720692,0.928575242334251,1.139263937024983,-0.7039374738647569,15,15,M�xico,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.7372553853782785,-1.5191136130551834,-0.4120289053431124,-0.717546048168058,-0.13212914539450657,-0.0526112226842924,0.5470557482728784,0.6689748475729975,-0.1602266310534081,1.220376531313746,1.223158566904456,0.16568421859327684,16,16,Michoac�n de Ocampo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.4924382595273812,-1.1563424204874024,-1.0713843235722522,-1.1557889301941338,0.15584686623622349,-0.1498910302397875,0.4010614361181771,0.34848627144068384,-0.50308561055675,1.276433672471142,1.0800736972542893,-0.5683048544533577,17,17,Morelos,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.7974932583895584,-2.1837005152846785,-0.6506690562855116,-0.47009121981534024,-0.8031866824988144,-0.5720442338423283,-0.11923118822502267,0.35259103486032184,-0.4571312274354868,1.0149169089577368,1.5413162693832865,0.6292704911665484,18,18,Nayarit,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.7858935327684424,-2.5682416237331616,-1.6740081394533948,-0.5550570320798537,-0.7742964494912169,0.6149657004363026,0.3917372579404367,0.5389602295141671,-1.255839780249714,2.1153823267482337,1.360875926289008,-1.3187414280618557,19,19,Nuevo Le�n,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.7222219083226129,-0.7858595534916363,-0.28882731018185104,-0.8291670344730422,-0.15616595481104914,0.313589956281138,0.10435453558219035,0.5813674211134088,-0.10516333465571821,1.0890127389811226,0.9960331695521623,0.18792277268191737,20,20,Oaxaca,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.8129798041714765,-1.1331864889267214,-0.6556315774458712,-1.0452181231210818,0.0676972607292029,0.0465483121567434,0.4224567157895705,0.5299059640649503,-0.13759861398001905,1.2671807261800954,1.2408881985518285,-0.07964885334912415,21,21,Puebla,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.7455667816879028,-1.9557956157664191,-0.9763597345112935,-1.2251397038091276,-0.25403254608681614,-0.22065879867703145,-0.06481616742079382,0.22068254138750562,-0.675283457976969,0.7644534029726501,1.5059149558936085,-0.5140048649059913,22,22,Quer�taro,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.6431291151586814,-0.6647340022690209,-1.321630141865057,-0.13917451485946405,0.4084974111624217,-0.25127850919471284,-0.10081907085324923,0.1842259642901985,0.4475789248621534,1.4037288390079967,0.704886107362439,-0.3165674193844804,23,23,Quintana Roo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1.1068877756146465,-2.6700808744416875,-0.8707592178050613,-1.0263389835524246,-0.527166625447334,0.33381034880009575,-0.013686733082634784,0.29326884093354433,-1.1485009987761075,1.0146151530716867,1.3321110554473978,-0.9238301087133441,24,24,San Luis Potos�,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.1545855586042268,-1.7507948725484197,-0.41125198927417284,-0.5356529717329297,-0.904225267321943,-0.43763582056056527,0.11352459308378306,-0.09627385681856743,0.022347730913877886,0.6371486565553244,1.3757443870631054,-0.5174201863572541,25,25,Sinaloa,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-0.48069628271834575,-2.224801277502251,0.984249686703477,0.038251333778904925,-0.5689320903217006,0.9146167594445419,0.2571713105530643,0.7476647085549519,0.6446963604436834,0.2287849532926061,0.8275900962809142,-1.4941902389662693,26,26,Sonora,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.6075574343526539,-1.0948218755830796,-0.6073683790467739,-0.4396688808862045,-0.03298535681506115,0.33599880930425313,0.27990821720275055,0.33997754503127275,0.2959339465847857,0.8204191594162605,0.5502907497824078,-0.131208394405024,27,27,Tabasco,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1.6833460403061138,-2.6279837938850177,-1.5805349388899321,-0.6070908079289947,-0.9121320455311297,0.22437892148007052,0.15309456588727233,0.49914161147605773,-1.329774852429978,1.787099328359445,1.4395022883441753,-0.9933960193573929,28,28,Tamaulipas,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.767877941894692,-1.2268847925658994,-0.7984161617761577,-1.1398419329716594,-0.039740096886178265,-0.1792795575443178,0.23580716482530115,0.36692122388099124,-0.2601171477976211,0.8541782494489103,1.2888810570361269,-0.20271723491598342,29,29,Tlaxcala,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.8130306583467565,-1.312620157216803,-0.4962637833875413,-0.9274664377624187,-0.3033697043307811,0.12195417047835819,0.07697245000186244,0.4011104105343198,-0.2998111429320432,0.8267065663588113,1.1905801107722551,-0.09372766957553441,30,30,Veracruz de Ignacio de la Llave,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
