system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,date_year,.geo
0,-2.780476045247865,-3.005088166796052,-2.9771578684706665,-2.987811633581013,-3.3804955916601984,-4.641033187312855,-4.976192192525233,-4.043180658755683,-4.729521182211383,-4.706973217256293,-4.668820006654102,-4.161301985139186,01,01,Aguascalientes,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.15937592073773724,-0.355870306592034,-1.1333077559080869,-1.4092587602681386,-1.3154248628435363,-1.1874098990583883,-1.0639815624436175,-1.6529646615154923,-1.4899792803028054,-1.8983902084064441,-2.1574545009328765,-2.599216597171416,02,02,Baja California,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6.935633939283055,6.385589049241807,5.623649660153903,5.056425253611062,4.548227373568733,4.066231773167025,3.538051587161319,3.2810627025925516,2.473664890332325,1.4907824777057177,0.29110668817951,-0.6709502799649841,03,03,Baja California Sur,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-2.9712517828499325,-3.5280541083493056,-3.986734101069777,-3.0929274572292287,-2.062535702848467,-2.30248011884255,-2.1274296206320957,-2.5568239242590307,-2.6884482751323615,-2.274394818554896,-1.9063440537105139,-2.1673639355733387,04,04,Campeche,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.8176789281647366,1.1168361808431393,0.6832758856766804,-0.12471645737206963,-2.0187195317763984,-2.6544356089113434,-1.8171788227622199,-0.3896949582133184,-1.9012646184428807,-1.1993070621658128,-0.6278599545291558,0.6333064622580168,05,05,Coahuila de Zaragoza,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.159929483749707,-0.11470963493435353,-0.4253869476341378,-0.492410997242457,-1.0344783306581051,-1.9538487604779728,-1.063991027698891,-1.5317217489127593,-1.3580399500624218,-0.5771328421890215,-0.5537744028755259,-0.5172117270993674,06,06,Colima,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5000761668225717,0.4329007185176407,-0.13218517640134933,-0.6821351744249857,-0.7181890588560753,0.6112783004159104,1.4572900993012436,2.7359427799078535,2.5697480357150586,3.260696031024496,2.7545681537698,2.032101598218634,07,07,Chiapas,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.5265981301901349,0.4517894229856163,0.16674935754495376,-0.3115690161782866,-1.014276986907394,-1.9054329446007892,-0.864534707158678,-0.9578350165313289,-2.7925856832468123,-3.0709223698784784,-2.828885597605989,-2.0916654268541817,08,08,Chihuahua,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2543939313564272,0.6776584796562516,-0.025186462256644084,-1.9689682244973743,-2.12970770781391,-3.3264314890456737,-3.234834226300992,-3.5490859901331486,-3.547769349106148,-3.2553068802716028,-3.2001198875391235,-3.0150177709405344,09,09,Ciudad de M�xico,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.39485858633260557,-0.04753875260573348,-0.5450105217399895,-0.987804945217792,-1.760410249063906,-2.5755182944901716,-2.396120540609968,-1.3330917737776529,-2.207955503660377,-1.7455963430778805,-1.9411778112310967,-1.5654305145279057,10,10,Durango,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.810004227690606,2.0045950128624286,1.2518549056584434,0.7403787242110865,-0.5586216959957364,-3.414163352840494,-3.8845171721105634,-2.73777915569175,-3.4034760584599977,-3.302809979399621,-3.323983791290443,-3.161843093747117,11,11,Guanajuato,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.6585393279616256,3.0657678202567027,2.556649174441572,1.9724991167976884,1.097128416987156,-1.7993806017342189,-1.4139361529593235,-1.3016205285132947,-2.0928441503090904,-0.39235727639266393,-0.653339849962472,-0.7815462389411145,12,12,Guerrero,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-1.073145452828407,-1.8374265747473801,-2.2890368117858166,-2.6227012560203997,-2.6923715553876675,-3.796800642175846,-3.561177032769854,-3.697859401265463,-4.07495687978091,-3.496768722258952,-3.1854835395221492,-3.0775780526961953,13,13,Hidalgo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.8360761779806257,-0.1174224129827377,-0.7161233692076018,-1.1382286239442223,-1.863156482068535,-3.131507159186141,-2.8636983561572573,-2.5446376205781385,-2.9648838469800203,-2.738480250486517,-2.8412349121077125,-2.0890384049985284,14,14,Jalisco,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
