system:index,01,02,03,04,05,06,07,08,09,10,11,12,COUNTRY_NA,OBJECTID,Shape_Area,Shape_Le_1,Shape_Leng,date_year,.geo
0,1.360042467566224,0.9195078244907745,0.40995201901549977,0.07290965523680853,-0.6253976752535585,-1.472683573386969,-1.3066448771585462,-0.9447068581867265,-1.6507228307411137,-1.4170358437936705,-1.475423469503967,-1.300407382438906,Mexico,155,174.063486147,225.134598272,225.134598272,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.2971705664082397,-0.4828983200119807,-0.5071777740051051,-0.6456854911078836,-1.1017655786745075,-0.2865149697838217,-0.04247987903667024,-0.4090889111491976,-0.8693294880293356,-1.2787357056373134,-0.9050755018960033,-1.0191120273529393,Mexico,155,174.063486147,225.134598272,225.134598272,1961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-1.1210156172034647,-1.5040764214252242,-1.624604133592233,-1.414848322684937,-1.8160596235800532,-1.6725765489680262,-2.2146492991642357,-3.05975229927312,-2.529420655891697,-2.1450777091418214,-2.15232644375206,-1.9958518387805817,Mexico,155,174.063486147,225.134598272,225.134598272,1962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-2.3379345051460487,-2.3596715352091393,-2.2809183739360956,-2.2679963557745144,-2.193230320309723,-2.2199885818077743,-1.5787529041523871,-1.599180146324736,-1.3962985806391817,-1.371607063593662,-1.218485712349066,-0.9510971056667229,Mexico,155,174.063486147,225.134598272,225.134598272,1963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-1.0735043592713742,-1.3863499491981368,-1.2637538688440442,-1.4731109764065184,-1.002539602647228,-1.0026072742995193,-1.3204896180000982,-2.042857698079009,-1.69345510794647,-1.8617028095343218,-1.8273032214909413,-1.761753657590275,Mexico,155,174.063486147,225.134598272,225.134598272,1964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-1.7456279790480642,-1.2815047542274947,-1.3423205812445385,-1.1276135442082764,-1.2578908478586954,-1.635912173688653,-2.1718986904692414,-1.889709334685223,-2.1165080940565546,-2.0568562037265767,-1.9771355756915845,-0.5545591092996053,Mexico,155,174.063486147,225.134598272,225.134598272,1965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.18607620453592263,0.3347716522009853,0.5510217834029671,1.0150769252564729,1.3755348199681854,1.7808048929317386,1.3202649485527773,1.6486486900583077,1.295853895745824,1.3434863369526746,0.7242958721450548,0.036256584656527036,Mexico,155,174.063486147,225.134598272,225.134598272,1966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.07312919009810286,-0.22532344917693484,0.05237646487351597,0.13244073055767178,-0.2717910715810594,-0.14856251432850043,-0.9901127315582843,0.13181041668183027,1.0337974920834563,1.1863140368389364,1.4527322513758751,1.775124447572161,Mexico,155,174.063486147,225.134598272,225.134598272,1967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.800947651643078,2.3238394074468576,2.941093079791269,3.036506464060248,2.8725645605706083,2.3467079292488586,2.4608843271692633,2.1125178636239936,1.6129940898253705,1.2487640527005814,1.1113447606050186,0.9238771533072379,Mexico,155,174.063486147,225.134598272,225.134598272,1968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.6821493396695375,0.46026017871020575,0.2195106062466765,-0.04063903601904313,-0.5234774003465706,-1.4405088957876988,-1.4209982734954527,-0.8645211646305594,-0.9392955919344033,-0.9008348868195674,-0.6087547118240894,-0.48245155662881484,Mexico,155,174.063486147,225.134598272,225.134598272,1969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.7599390948867611,-0.4217185396830316,-0.3109914815182708,-0.6475195468446044,-1.0201340040855977,-0.568353565637339,-0.5098508637571407,-0.5178052881226711,0.7069177158324428,0.25563356369309065,-0.2731024804668557,-1.0221188804598413,Mexico,155,174.063486147,225.134598272,225.134598272,1970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-1.603693818451514,-1.992686402496919,-2.1845484562076654,-2.3173609914541315,-2.2484091897975333,-1.3446030158805131,-1.6573959872583952,-0.6158037415634514,-0.06858007680433095,1.1353906210681017,1.1652185995213182,0.9536456394410757,Mexico,155,174.063486147,225.134598272,225.134598272,1971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.7257461437967445,0.20165403644601498,0.15722496640799138,-0.07045135907248044,0.6192658903892746,1.2704970013156618,1.2541049551651307,1.014921912025919,0.5496518508030181,0.9761501774054242,1.6458614633898945,1.2082285873869476,Mexico,155,174.063486147,225.134598272,225.134598272,1972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.9433041068939322,1.6930523403732827,1.3251489119960937,0.9851338870702575,0.7295363038322461,0.8836286820010829,0.9258444742500913,1.788842208379193,1.1262459667865905,0.995427440198308,0.6125684138582834,0.13287410488160653,Mexico,155,174.063486147,225.134598272,225.134598272,1973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.11303230844335721,-0.5600437230350848,-0.3621250204385336,-0.4710407293209891,-0.4271010945199843,-0.5635672430787342,-0.5321341131955547,-0.8882308149832613,-0.11730284422409766,-0.37990209260210117,-0.29056793022097777,-0.45783628153279354,Mexico,155,174.063486147,225.134598272,225.134598272,1974.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.4686935006707482,-0.7891336274449271,-1.0897811429666773,-1.465563222212595,-1.3690744290336414,-1.8297691126942253,-0.861230125884237,-0.7866249148899288,-0.862753251128293,-1.1425348375009126,-1.447270027488043,-1.6040431984620105,Mexico,155,174.063486147,225.134598272,225.134598272,1975.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-1.8906958189832794,-1.9457608059358824,-2.0363019048140187,-1.5710709192779697,-1.4623236772590367,-1.1940990437381394,0.5072383554672366,0.21979315601948354,0.7388231544470211,1.108868334107821,2.247893054713161,2.3109216507568893,Mexico,155,174.063486147,225.134598272,225.134598272,1976.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.067471291519807,1.5771445745232338,1.236035381837484,1.1820026071330254,0.9296511475369287,0.8820030004454411,0.37273650110679235,0.22812003707233713,-0.5868795109118965,-0.3732167410516357,-0.7369740009923226,-1.0895233480036906,Mexico,155,174.063486147,225.134598272,225.134598272,1977.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-1.131279730994662,-0.6482273514858206,-0.21483068311205544,-0.46660563358013457,-0.24707046585332035,-0.2677087035068483,-0.4276062082467572,-0.38993410471095946,0.858085586035117,1.89318699802279,1.9951997455718766,2.227142304269135,Mexico,155,174.063486147,225.134598272,225.134598272,1978.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.4264503010033547,2.3235221870863136,2.1332076205083856,2.136134047682596,1.7664528816024807,1.2399647584243816,0.6275692936257823,0.1396118777376806,-0.5747862799008433,-1.7438365372445752,-2.0711302711006745,-1.758602479175378,Mexico,155,174.063486147,225.134598272,225.134598272,1979.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-0.9609427894405537,-0.32447337697575596,-0.48324755796035285,-0.5307589481706553,-0.8186579440538322,-1.5853744537751446,-2.2430121915892203,-1.7260656614149124,-1.2564376312557994,-1.0575660058470187,-0.7603774989134089,-0.8859624593665224,Mexico,155,174.063486147,225.134598272,225.134598272,1980.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.030272621862868,1.235007481545821,1.6997006254567686,2.4040319403342454,2.402867422875345,2.9227195511025674,2.923628943035289,2.6502921962980337,2.0986857279563336,2.425378278102499,1.8125784587835618,1.1818758384305459,Mexico,155,174.063486147,225.134598272,225.134598272,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.521043083325176,0.36065208538159094,0.12165361378191715,0.19583454438337036,0.60276016403437,-0.48927840829085445,-1.2127888003094458,-2.2765130008735976,-2.662750014225773,-2.7877869053654325,-2.0297825745456235,-0.6300605384130041,Mexico,155,174.063486147,225.134598272,225.134598272,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.0627200446020302,0.7054363674118639,1.6152905271662603,1.4001954418338765,1.5269616732895703,0.7375263337341587,0.4712520414088708,0.7598345747525675,1.0817531734833317,1.3625608156884828,1.6763787107070038,1.3675558775629961,Mexico,155,174.063486147,225.134598272,225.134598272,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2.415264271116175,2.1131368097924725,1.7250413850764925,1.05440206571598,1.8322198948302322,2.549557029244382,3.4842085908355473,3.521375477326685,3.5106364472015046,2.9794507331382665,2.4652284452465563,2.9429936957302387,Mexico,155,174.063486147,225.134598272,225.134598272,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2.9519040203417477,2.5615572784596132,2.2934636492833733,2.8559177278079613,2.5012993038644318,2.8829247588251348,2.8161016383477837,2.151473626191028,1.3690177517354276,1.3783779498333724,1.2754871082363832,0.8199450650170879,Mexico,155,174.063486147,225.134598272,225.134598272,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
