system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,date_year,.geo
0,0.8088199514094311,1.4577456171142227,1.46790356647056,0.22621479412527992,1.2273673061209516,1.6620483628002471,0.7886522782570968,-0.8593869977663741,1.4958974112793277,0.3846937415632139,0.812054247609963,-0.005307692821503357,01,01,Aguascalientes,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-1.1249597475013136,0.38553933138904173,1.0808748291725907,0.8177531654557384,0.7340376339130295,0.9892964269680812,0.8622510532601358,0.22856118070641138,0.13556133137811588,0.4140188877772121,0.3178628813413497,0.4564754099500414,02,02,Baja California,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-2.0358594958238134,0.4761214544631348,0.4778453180559745,0.45312287097614307,-0.05126466726864846,0.041628272914785575,0.30445120695752736,-0.4349030733903533,0.35513100568743605,0.5927362764612082,0.7082929421696159,0.18693340134683364,03,03,Baja California Sur,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.6465188400248434,1.4801455797422924,1.370671254931378,-0.7916148484230262,-0.9159389081365529,0.40237733206519394,-0.3986139807163271,1.1936510701057408,-0.22722876921210586,-0.523921368651717,-0.35406505374658825,0.5434184953562384,04,04,Campeche,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.0945689767028015,-0.10928836991220184,-0.2898739339537438,0.6422949330863466,1.8131407899151557,1.270249523293854,-0.1538989005451002,-0.6235180015894539,1.4959340480747616,-0.11554585676792002,-0.31202527701823846,-1.0656089437562706,05,05,Coahuila de Zaragoza,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5490628113441927,0.719346682757698,0.32829789058680775,0.11827392962193713,0.3962910278263716,1.0239967490926343,-0.3451772709061177,0.2481012669856964,-0.24578206951821616,-1.0984435814890727,-0.11387525670689413,-0.04497886178744758,06,06,Colima,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.2711921515458479,0.6101624272144606,0.436154560975517,0.4881674581517808,-0.17765380747725176,-0.09975210854862632,-0.30352047572991936,-0.2937503815865821,-0.04827791187706512,-0.5196171003608733,-0.09151357788114575,0.4309649136831728,07,07,Chiapas,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-1.07470531578625,0.31043523379518917,0.6135321898158659,0.7937895265107991,1.6475608551661243,1.082361506493375,-0.6893484894652263,0.1541541819926006,1.9191820650265858,0.6677764061785335,0.323667143123722,-1.039411160644697,08,08,Chihuahua,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.25618979570010986,1.3870406095299646,0.8674895658415964,1.0095368524580932,0.5737746044377061,2.0828971317601215,-0.28293265394802547,0.058408165427633475,-0.1095343544283578,-0.12419896933203213,0.5809880019761714,0.37270383836183985,09,09,Ciudad de M�xico,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.2717948713603566,0.6982858361562337,0.6320368984722989,0.4609532218637778,1.4799383792877483,1.067069408504184,-0.047809420057164924,-0.5670495978682292,1.4764084039900252,-0.40457010035735647,0.6033025150911088,-0.44183623746340883,10,10,Durango,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
