system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,date_year,.geo
0,0.7513967786865233,-2.870828151071291,-0.6827581487700427,-1.0744578727763787,-0.3459815607391406,0.7286676670858121,0.3550892723609306,1.19641125131047,-1.7164648792971855,1.2005397353920575,1.2816960966378794,-0.6660648917520277,01,01,Aguascalientes,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.9945332485176706,-0.9462861690344354,0.7044506837928836,0.1732255007703687,-0.2859516158999412,0.98766968864671,0.15531597156438912,0.7390659150185062,0.7498027182486676,-0.17709402621610887,-0.28260570172438537,-0.9825088131654273,02,02,Baja California,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5431714806598099,-0.96329957127588,0.4827917350407303,0.028004941181884506,-0.5319074356104742,0.8115000646945895,0.7693989542263941,0.7414805219075608,1.3103555346385116,0.9550264612114538,1.630896011661209,-0.32121053512111813,03,03,Baja California Sur,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.8949330452194919,-1.4432128814482108,-1.282612346368005,-0.28588562550772434,0.3349417348164725,-0.14220774014840035,-0.35292474846905403,0.22710493301708287,1.2967733893720443,1.906947562156902,0.6586905904190268,-0.41215402943971713,04,04,Campeche,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.8878949231960774,-1.7897675810393225,-1.1772543948789538,-0.19504388447732993,-0.7189596048300252,1.127811732197966,0.36385792392257554,0.7224770406351186,-1.1003764919393533,1.5953751118520987,1.0900251814274184,-0.7421740845200934,05,05,Coahuila de Zaragoza,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.8408825510340019,-1.8641352021724675,-0.7228153470470704,-0.9675188164792958,-0.7740460591649421,-0.4398659202836088,1.350835527185679,1.8032372367488172,0.5345043286580127,1.5717484770593977,1.2174857217793236,0.6705335465857587,06,06,Colima,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.7985524356090093,-1.2505028607389437,-0.5407979279287618,-0.7565361138179143,-0.22737118890746705,0.16990081656129774,0.49035456334859245,0.7312674010075655,0.7517475368003824,1.5440993322190955,0.96077188842818,-0.25318702160556505,07,07,Chiapas,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.3220937725433924,-1.2765279424250637,0.09692223941551577,0.17331696027487914,-0.4737634033736035,1.6591825312964719,0.5522856164624425,1.0836273007369086,-0.03442397161125671,0.7044488855969325,1.108601030367563,-0.8185174764116092,08,08,Chihuahua,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5903255455386085,-1.4607280157599467,-1.2339713128216803,-1.769933055879266,0.14017930413230392,-0.5482296597670232,0.7516819844035189,0.7232357270992495,-1.1924378525773047,1.3369521836312908,1.0538337620671034,-0.9878774763089165,09,09,Ciudad de M�xico,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9798201173269956,-2.3014482383046277,-0.8486570526658549,-0.5334106648551591,-0.5754280539906546,0.3932250302271871,0.1843266027943988,0.3399274286503596,-1.2653861848103927,1.1288284703683926,1.335672145615403,-0.509132791239049,10,10,Durango,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.0130108311219779,-2.5387969760566755,-0.6156841631960444,-1.2993846536463953,-0.596282671044571,0.058663210914397475,0.6356324640048328,1.0797420584023079,-1.3548092514608427,1.1776392949817935,1.4252071077093889,-0.5117216711375716,11,11,Guanajuato,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5285277523000744,-1.5951642117127502,-1.175659642876381,-1.5532484432716744,-0.00973307001135778,-0.40544167939642295,1.0195035553508032,1.038497479237956,-1.085471535312937,1.9378123671684524,1.0229853220004164,-0.5700424423131375,12,12,Guerrero,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.1135136056068171,-2.27019848722298,-1.222066248423482,-1.7039833015028294,-0.2509860329689431,-0.7072681793514893,-0.13395508518031454,0.36988925791336946,-1.207414716730169,0.9105196845506259,1.5126383697097492,-0.6921103267812053,13,13,Hidalgo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.6942291472752214,-2.5463914148267266,-0.6488123571951468,-0.8825516765564844,-0.7089110736023747,-0.33123970464023955,0.7217036720851043,1.424961937793641,-0.3555053150899174,1.4174951818200858,1.4483726092123925,0.3215528533397442,14,14,Jalisco,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.6899191042368489,-1.6296981939405677,-1.2821120137819704,-1.8206050015882875,0.10262476682106977,-0.7696949794813772,0.8320963782367686,0.7928525118940746,-1.2380423405875227,1.2434693293255838,1.1159269116149395,-0.9643766998739813,15,15,M�xico,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.0901952707011369,-1.902498380516699,-0.5191726340205235,-1.0179176362044489,-0.19159451673760647,-0.1501160297140107,1.4980431826180045,1.797915247916869,-0.35990824608316474,1.5972421759885083,1.3741958572712953,0.20467624349283514,16,16,Michoac�n de Ocampo,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.6528397302916167,-1.48291880162712,-1.2876493167489884,-1.7152153043696374,0.27097403407128506,-0.342019563883452,0.9453205883008461,0.8266770942292226,-1.2884998474189988,1.7055437756205218,1.0135774608733825,-0.8070928514624186,17,17,Morelos,1960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
