cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_meses
1001,D0,6,2017-02-28,2017-05-15,2.496971190373519
1001,D1,10,2020-11-30,2021-04-15,4.468264235405244
1001,D2,5,2023-03-31,2023-06-15,2.496971190373519
1001,D3,2,2011-09-30,2011-10-31,1.0185014065997249
1001,D4,1,2011-11-30,2011-11-30,0.0
1001,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1002,D0,5,2009-07-31,2009-11-30,4.008295858231175
1002,D1,8,2020-11-30,2021-03-15,3.4497628288055195
1002,D2,6,2023-03-31,2023-06-30,2.9897944516314503
1002,D3,3,2011-10-31,2011-12-31,2.0041479291155877
1002,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1003,D0,7,2017-02-15,2017-05-15,2.924084683463726
1003,D1,9,2020-12-31,2021-04-30,3.942586090063451
1003,D2,3,2011-04-30,2011-06-30,2.0041479291155877
1003,D3,2,2011-09-30,2011-10-31,1.0185014065997249
1003,D4,2,2011-11-30,2011-12-31,1.0185014065997249
1003,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1004,D0,3,2012-05-31,2012-07-31,2.0041479291155877
1004,D1,11,2019-05-31,2019-10-31,5.0267972648309
1004,D2,6,2021-03-31,2021-06-15,2.496971190373519
1004,D3,2,2011-11-30,2011-12-31,1.0185014065997249
1004,Sin sequia,32,2008-07-31,2011-02-28,30.94930080699809
1005,D0,7,2022-11-30,2023-02-28,2.9569395675475882
1005,D1,10,2020-11-30,2021-04-15,4.468264235405244
1005,D2,3,2011-04-30,2011-06-30,2.0041479291155877
1005,D3,2,2011-09-30,2011-10-31,1.0185014065997249
1005,D4,2,2011-11-30,2011-12-31,1.0185014065997249
1005,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1006,D0,5,2009-07-31,2009-11-30,4.008295858231175
1006,D1,8,2020-11-30,2021-03-15,3.4497628288055195
1006,D2,3,2011-04-30,2011-06-30,2.0041479291155877
1006,D3,4,2011-10-31,2012-01-31,3.0226493357153124
1006,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1007,D0,7,2017-02-15,2017-05-15,2.924084683463726
1007,D1,11,2019-05-31,2019-10-31,5.0267972648309
1007,D2,6,2021-03-31,2021-06-15,2.496971190373519
1007,D3,3,2011-10-31,2011-12-31,2.0041479291155877
1007,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1008,D0,7,2017-02-15,2017-05-15,2.924084683463726
1008,D1,8,2022-03-15,2022-06-30,3.5154725969732437
1008,D2,3,2011-04-30,2011-06-30,2.0041479291155877
1008,D3,5,2011-09-30,2012-01-31,4.041150742315037
1008,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1009,D0,6,2017-02-28,2017-05-15,2.496971190373519
1009,D1,11,2022-03-31,2022-08-31,5.0267972648309
1009,D2,3,2011-04-30,2011-06-30,2.0041479291155877
1009,D3,3,2011-10-31,2011-12-31,2.0041479291155877
1009,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1010,D0,10,2019-04-30,2019-09-15,4.533974003572968
1010,D1,6,2022-03-15,2022-05-31,2.529826074457381
1010,D2,7,2023-03-15,2023-06-30,3.5154725969732437
1010,D3,5,2011-09-30,2012-01-31,4.041150742315037
1010,Sin sequia,27,2003-01-31,2005-05-31,27.95950635536664
1011,D0,5,2009-07-31,2009-11-30,4.008295858231175
1011,D1,10,2020-11-30,2021-04-15,4.468264235405244
